player_key,name,week,position,team_key,team_name,started,nfl_team,points,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Return Touchdowns,2-Point Conversions,Fumbles Lost,Field Goals 0-19 Yards,Field Goals 20-29 Yards,Field Goals 30-39 Yards,Field Goals 40-49 Yards,Field Goals 50+ Yards,Field Goals Missed 0-19 Yards,Field Goals Missed 20-29 Yards,Point After Attempt Made,Point After Attempt Missed,Points Allowed,Sack,Interception,Fumble Recovery,Touchdown,Safety,Block Kick,Kickoff and Punt Return Touchdowns,4th Down Stops,Points Allowed 0 points,Points Allowed 1-6 points,Points Allowed 7-13 points,Points Allowed 14-20 points,Points Allowed 21-27 points,Points Allowed 28-34 points,Points Allowed 35+ points,Extra Point Returned
390.p.29279,Derrick Henry,1,RB,390.l.99174.t.5,Salmon Sisters,False,Ten,28.4,0.0,0.0,0.0,19.0,84.0,1.0,2.0,1.0,75.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31021,Anthony Miller,1,WR,390.l.99174.t.5,Salmon Sisters,False,Chi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31010,Courtland Sutton,1,WR,390.l.99174.t.5,Salmon Sisters,False,Den,17.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,120.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31906,Devin Singletary,1,RB,390.l.99174.t.5,Salmon Sisters,False,Buf,12.3,0.0,0.0,0.0,4.0,70.0,0.0,6.0,5.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29949,Aldrick Rosas,1,K,390.l.99174.t.5,Salmon Sisters,True,NYG,5.0,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
390.p.100017,New England,1,DEF,390.l.99174.t.5,Salmon Sisters,True,NE,15.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
390.p.30125,Deshaun Watson,1,QB,390.l.99174.t.6,Hike School,True,Hou,27.66,268.0,3.0,1.0,4.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.8780,Matt Ryan,1,QB,390.l.99174.t.6,Hike School,True,Atl,15.09,304.0,2.0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27581,Davante Adams,1,WR,390.l.99174.t.6,Hike School,True,GB,5.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30197,Chris Godwin,1,WR,390.l.99174.t.6,Hike School,True,TB,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,53.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.25876,Marvin Jones Jr.,1,WR,390.l.99174.t.6,Hike School,True,Det,8.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0,56.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27658,James White,1,RB,390.l.99174.t.6,Hike School,True,NE,10.7,0.0,0.0,0.0,4.0,26.0,0.0,7.0,5.0,56.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31379,Phillip Lindsay,1,RB,390.l.99174.t.6,Hike School,True,Den,8.6,0.0,0.0,0.0,11.0,43.0,0.0,6.0,4.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30259,George Kittle,1,TE,390.l.99174.t.6,Hike School,True,SF,9.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,54.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31017,Christian Kirk,1,WR,390.l.99174.t.6,Hike School,True,Ari,8.4,0.0,0.0,0.0,1.0,12.0,0.0,12.0,4.0,32.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.26804,Latavius Murray,1,RB,390.l.99174.t.6,Hike School,False,NO,11.7,0.0,0.0,0.0,6.0,43.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30118,Corey Davis,1,WR,390.l.99174.t.6,Hike School,False,Ten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.9265,Matthew Stafford,1,QB,390.l.99174.t.6,Hike School,False,Det,25.2,385.0,3.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29560,Peyton Barber,1,RB,390.l.99174.t.6,Hike School,False,Was,5.5,0.0,0.0,0.0,8.0,33.0,0.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31840,T.J. Hockenson,1,TE,390.l.99174.t.6,Hike School,False,Det,24.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,131.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
